Goodness,Model
1698375734,"{'Cc': 1, 'RB1': 68100.0, 'RB2': 21500.0, 'RB3': 86600.0, 'RC': 1150.0, 'RE_deg': 10.0, 'RE': 750.0, 'trans_model': 'ZTX107-NOM'}"
1695062292,"{'Cc': 1, 'RB1': 90900.0, 'RB2': 12700.0, 'RB3': 18700.0, 'RC': 1870.0, 'RE_deg': 12.1, 'RE': 316.0, 'trans_model': 'ZTX107-NOM'}"
1694449038,"{'Cc': 1, 'RB1': 127000.0, 'RB2': 16200.0, 'RB3': 18700.0, 'RC': 2490.0, 'RE_deg': 16.9, 'RE': 105.0, 'trans_model': 'ZTX107-NOM'}"
1694427906,"{'Cc': 1, 'RB1': 110000.0, 'RB2': 30100.0, 'RB3': 44200.0, 'RC': 1470.0, 'RE_deg': 14.7, 'RE': 187.0, 'trans_model': 'ZTX107-NOM'}"
1693412707,"{'Cc': 1, 'RB1': 261000.0, 'RB2': 90900.0, 'RB3': 178000.0, 'RC': 2050.0, 'RE_deg': 18.7, 'RE': 237.0, 'trans_model': 'ZTX107-NOM'}"
1690747751,"{'Cc': 1, 'RB1': 105000.0, 'RB2': 27400.0, 'RB3': 24900.0, 'RC': 1780.0, 'RE_deg': 10.5, 'RE': 348.0, 'trans_model': 'ZTX107-NOM'}"
1689310316,"{'Cc': 1, 'RB1': 115000.0, 'RB2': 140000.0, 'RB3': 71500.0, 'RC': 1870.0, 'RE_deg': 12.1, 'RE': 402.0, 'trans_model': 'ZTX107-NOM'}"
1689163797,"{'Cc': 1, 'RB1': 71500.0, 'RB2': 13300.0, 'RB3': 15400.0, 'RC': 1689.9999999999998, 'RE_deg': 16.2, 'RE': 140.0, 'trans_model': 'ZTX107-NOM'}"
1686759923,"{'Cc': 1, 'RB1': 383000.0, 'RB2': 27400.0, 'RB3': 154000.0, 'RC': 1870.0, 'RE_deg': 13.3, 'RE': 249.0, 'trans_model': 'ZTX107-NOM'}"
1678989987,"{'Cc': 1, 'RB1': 95300, 'RB2': 13300.0, 'RB3': 20500, 'RC': 3479.9999999999995, 'RE_deg': 10.5, 'RE': 619.0, 'trans_model': 'ZTX107-NOM'}"
1669742939,"{'Cc': 1, 'RB1': 61900.0, 'RB2': 20500.0, 'RB3': 11000.0, 'RC': 3479.9999999999995, 'RE_deg': 16.2, 'RE': 205.0, 'trans_model': 'ZTX107-NOM'}"
1669099022,"{'Cc': 1, 'RB1': 95300.0, 'RB2': 75000.0, 'RB3': 38300.0, 'RC': 1620.0, 'RE_deg': 10.5, 'RE': 442.0, 'trans_model': 'ZTX107-NOM'}"
1662496489,"{'Cc': 1, 'RB1': 215000.0, 'RB2': 14700.0, 'RB3': 38300.0, 'RC': 1780.0, 'RE_deg': 13.3, 'RE': 121.0, 'trans_model': 'ZTX107-NOM'}"
1660627793,"{'Cc': 1, 'RB1': 82500.0, 'RB2': 46400.0, 'RB3': 27400.0, 'RC': 1689.9999999999998, 'RE_deg': 16.9, 'RE': 237.0, 'trans_model': 'ZTX107-NOM'}"
1659671656,"{'Cc': 1, 'RB1': 121000.0, 'RB2': 59000.0, 'RB3': 24900.0, 'RC': 3160.0, 'RE_deg': 13.3, 'RE': 187.0, 'trans_model': 'ZTX107-NOM'}"
1659386944,"{'Cc': 1, 'RB1': 205000.0, 'RB2': 61900.0, 'RB3': 34800.0, 'RC': 3829.9999999999995, 'RE_deg': 14.0, 'RE': 121.0, 'trans_model': 'ZTX107-NOM'}"
1656186848,"{'Cc': 1, 'RB1': 249000.0, 'RB2': 105000.0, 'RB3': 59000.0, 'RC': 1960.0000000000002, 'RE_deg': 13.3, 'RE': 100.0, 'trans_model': 'ZTX107-NOM'}"
1654515226,"{'Cc': 1, 'RB1': 82500.0, 'RB2': 12100.0, 'RB3': 22600.0, 'RC': 1400.0, 'RE_deg': 16.2, 'RE': 162.0, 'trans_model': 'ZTX107-NOM'}"
1648248557,"{'Cc': 1, 'RB1': 121000.0, 'RB2': 33200.0, 'RB3': 90900.0, 'RC': 1470.0, 'RE_deg': 16.2, 'RE': 649.0, 'trans_model': 'ZTX107-NOM'}"
1646027411,"{'Cc': 1, 'RB1': 95300, 'RB2': 12700.0, 'RB3': 20500, 'RC': 1960.0000000000002, 'RE_deg': 21.5, 'RE': 178.0, 'trans_model': 'ZTX107-NOM'}"
1640303365,"{'Cc': 1, 'RB1': 28700.0, 'RB2': 14700.0, 'RB3': 10500.0, 'RC': 2870.0, 'RE_deg': 13.3, 'RE': 866.0, 'trans_model': 'ZTX107-NOM'}"
1639568990,"{'Cc': 1, 'RB1': 154000.0, 'RB2': 28700.0, 'RB3': 30100.0, 'RC': 3320.0000000000005, 'RE_deg': 11.0, 'RE': 487.0, 'trans_model': 'ZTX107-NOM'}"
1639466979,"{'Cc': 1, 'RB1': 154000.0, 'RB2': 34800.0, 'RB3': 36500.0, 'RC': 2610.0, 'RE_deg': 13.3, 'RE': 348.0, 'trans_model': 'ZTX107-NOM'}"
1637962423,"{'Cc': 1, 'RB1': 95300, 'RB2': 23700.0, 'RB3': 21500.0, 'RC': 2740.0, 'RE_deg': 18.7, 'RE': 226, 'trans_model': 'ZTX107-NOM'}"
1635190764,"{'Cc': 1, 'RB1': 178000.0, 'RB2': 10500.0, 'RB3': 215000.0, 'RC': 1400.0, 'RE_deg': 16.2, 'RE': 866.0, 'trans_model': 'ZTX107-NOM'}"
1634005826,"{'Cc': 1, 'RB1': 562000.0, 'RB2': 38300.0, 'RB3': 866000.0, 'RC': 3479.9999999999995, 'RE_deg': 17.8, 'RE': 1689.9999999999998, 'trans_model': 'ZTX107-NOM'}"
1633739824,"{'Cc': 1, 'RB1': 110000.0, 'RB2': 10500, 'RB3': 17800.0, 'RC': 3320.0000000000005, 'RE_deg': 20.5, 'RE': 196.0, 'trans_model': 'ZTX107-NOM'}"
1631180246,"{'Cc': 1, 'RB1': 249000.0, 'RB2': 53600.0, 'RB3': 61900.0, 'RC': 2870.0, 'RE_deg': 14.7, 'RE': 332.0, 'trans_model': 'ZTX107-NOM'}"
1630637067,"{'Cc': 1, 'RB1': 147000.0, 'RB2': 56200.0, 'RB3': 90900.0, 'RC': 1150.0, 'RE_deg': 86.6, 'RE': 237.0, 'trans_model': 'ZTX107-NOM'}"
1629027325,"{'Cc': 1, 'RB1': 68100.0, 'RB2': 147000.0, 'RB3': 40200.0, 'RC': 1470.0, 'RE_deg': 11.0, 'RE': 316.0, 'trans_model': 'ZTX107-NOM'}"
1626580195,"{'Cc': 1, 'RB1': 110000.0, 'RB2': 13300.0, 'RB3': 53600.0, 'RC': 2490.0, 'RE_deg': 19.6, 'RE': 750.0, 'trans_model': 'ZTX107-NOM'}"
1623807824,"{'Cc': 1, 'RB1': 249000.0, 'RB2': 28700.0, 'RB3': 249000.0, 'RC': 2490.0, 'RE_deg': 14.0, 'RE': 1780.0, 'trans_model': 'ZTX107-NOM'}"
